Sample,Female_parent,Male_parent
MM12-38,MM12_P014,MM12_P035
MM12-39,MM12_P014,MM12_P035
MM12-40,MM12_P014,MM12_P035
MM12-43,MM12_P687,MM12_P126
MM12-52,MM12_P687,MM12_P126
MM12-55,MM12_P687,MM12_P126
MM12-57,MM12_P687,MM12_P126
MM12-64,MM12_P041,MM12_P016
MM12-65,MM12_P041,MM12_P016
MM12-67,MM12_P041,MM12_P016
MM12-69,MM12_P117,MM12_P178
MM12-72,MM12_P117,MM12_P178
MM12-73,MM12_P117,MM12_P178
MM12-76,MM12_P117,MM12_P178
MM12-81,MM12_P029,MM12_P027
MM12-82,MM12_P029,MM12_P027
MM12-83,MM12_P029,MM12_P027
MM12-85,MM12_P029,MM12_P027
MM12-91,MM12_P117,MM12_P178
MM12-92,MM12_P117,MM12_P178
MM12-94,MM12_P117,MM12_P178
MM12-98,MM12_P687,MM12_P126
MM12-B,MM12_P173,MM12_P174
MM12-D,MM12_P173,MM12_P174
MM12-G,MM12_P173,MM12_P174
MM12-H,MM12_P173,MM12_P174
MM12-K,MM12_P145,MM12_P185
MM12-M,MM12_P145,MM12_P185
MM12-N,MM12_P145,MM12_P185
MM12-O,MM12_P145,MM12_P185
